AUS V YUG 1RD	Yugoslavia
BAH V ECAR AMZ2	Caribbean
BRA V ECAR AZQF	Caribbean
DEN V YUG 1RD	Yugoslavia
ESP V USR WGPO	Soviet Union
ESP V YUG QF	Yugoslavia
FRA V YUG WGPO	Yugoslavia
GBR V YUG WGPO	Yugoslavia
HUN V YGO ZBF	Yugoslavia
ITA V YUG QF	Yugoslavia
POC vs. THA AOGII 1st RD	Pacific Oceania
POR V USR EAZ	Soviet Union
POR V YUG EAZ2	Yugoslavia
SUI V YUG WGPO	Yugoslavia
SWE V YUG 1RD	Yugoslavia
TCH V URS 1RD	Soviet Union
TCH V YUG QF	Yugoslavia
USR V YUG 1RD	Yugoslavia
Yugoslavia F1	Yugoslavia
Yugoslavia F2	Yugoslavia
Yugoslavia F3	Yugoslavia
Yugoslavia F3a	Yugoslavia
Yugoslavia F3b	Yugoslavia
Yugoslavia F5	Yugoslavia
Yugoslavia F6	Yugoslavia
Yugoslavia F7	Yugoslavia
